----------------------------- MORE -----------------------------

| Naziv : More 392 | P = 535 | S = 268 | MSV = 2 | kTezine = 572437 |
| Naziv : More 772 | P = 855 | S = 305 | MSV = 11 | kTezine = 3216.51 |
| Naziv : More 393 | P = 740 | S = 912 | MSV = 1 | kTezine = 3183.72 |
| Naziv : More 342 | P = 481 | S = 316 | MSV = 2 | kTezine = 3064.38 |
| Naziv : More 170 | P = 627 | S = 256 | MSV = 5 | kTezine = 3010.18 |
| Naziv : More 527 | P = 784 | S = 364 | MSV = 5 | kTezine = 2966.49 |
| Naziv : More 643 | P = 849 | S = 669 | MSV = 2 | kTezine = 2948.06 |
| Naziv : More 729 | P = 949 | S = 545 | MSV = 4 | kTezine = 2926.4 |
| Naziv : More 631 | P = 912 | S = 391 | MSV = 9 | kTezine = 2871.38 |
| Naziv : More 58 | P = 727 | S = 277 | MSV = 8 | kTezine = 2839.65 |
| Naziv : More 207 | P = 682 | S = 278 | MSV = 6 | kTezine = 2830.37 |
| Naziv : More 13 | P = 655 | S = 486 | MSV = 2 | kTezine = 2706.78 |
| Naziv : More 82 | P = 800 | S = 337 | MSV = 8 | kTezine = 2700.42 |
| Naziv : More 273 | P = 819 | S = 367 | MSV = 7 | kTezine = 2683.04 |
| Naziv : More 263 | P = 795 | S = 316 | MSV = 10 | kTezine = 2672.41 |
| Naziv : More 185 | P = 453 | S = 228 | MSV = 3 | kTezine = 2665.05 |
| Naziv : More 188 | P = 799 | S = 369 | MSV = 7 | kTezine = 2504.94 |
| Naziv : More 418 | P = 612 | S = 219 | MSV = 9 | kTezine = 2480.42 |
| Naziv : More 513 | P = 808 | S = 345 | MSV = 10 | kTezine = 2471.1 |
| Naziv : More 593 | P = 793 | S = 357 | MSV = 8 | kTezine = 2438.58 |
| Naziv : More 239 | P = 890 | S = 440 | MSV = 8 | kTezine = 2409.43 |
| Naziv : More 740 | P = 601 | S = 251 | MSV = 6 | kTezine = 2394.7 |
| Naziv : More 333 | P = 399 | S = 136 | MSV = 6 | kTezine = 2290.66 |
| Naziv : More 635 | P = 958 | S = 521 | MSV = 8 | kTezine = 2287.26 |
| Naziv : More 148 | P = 903 | S = 538 | MSV = 5 | kTezine = 2281.5 |
| Naziv : More 745 | P = 698 | S = 295 | MSV = 9 | kTezine = 2240.59 |
| Naziv : More 757 | P = 688 | S = 903 | MSV = 1 | kTezine = 2201.6 |
| Naziv : More 594 | P = 977 | S = 560 | MSV = 8 | kTezine = 2179.91 |
| Naziv : More 673 | P = 992 | S = 600 | MSV = 7 | kTezine = 2147.27 |
| Naziv : More 94 | P = 660 | S = 313 | MSV = 6 | kTezine = 2145.81 |
| Naziv : More 775 | P = 568 | S = 235 | MSV = 7 | kTezine = 2096.91 |
| Naziv : More 229 | P = 907 | S = 846 | MSV = 2 | kTezine = 2095.92 |
| Naziv : More 455 | P = 891 | S = 682 | MSV = 3 | kTezine = 2062.03 |
| Naziv : More 4 | P = 545 | S = 235 | MSV = 6 | kTezine = 2060.29 |
| Naziv : More 118 | P = 634 | S = 287 | MSV = 7 | kTezine = 2046.32 |
| Naziv : More 182 | P = 715 | S = 333 | MSV = 9 | kTezine = 2016.22 |
| Naziv : More 499 | P = 807 | S = 426 | MSV = 8 | kTezine = 2003.07 |
| Naziv : More 90 | P = 854 | S = 585 | MSV = 4 | kTezine = 1963.17 |
| Naziv : More 634 | P = 350 | S = 98 | MSV = 10 | kTezine = 1944.44 |
| Naziv : More 250 | P = 950 | S = 787 | MSV = 3 | kTezine = 1918.85 |
| Naziv : More 601 | P = 459 | S = 187 | MSV = 6 | kTezine = 1906.62 |
| Naziv : More 472 | P = 779 | S = 406 | MSV = 9 | kTezine = 1899.68 |
| Naziv : More 731 | P = 918 | S = 629 | MSV = 5 | kTezine = 1892.06 |
| Naziv : More 235 | P = 531 | S = 216 | MSV = 8 | kTezine = 1884.45 |
| Naziv : More 517 | P = 838 | S = 583 | MSV = 4 | kTezine = 1880.17 |
| Naziv : More 51 | P = 745 | S = 669 | MSV = 2 | kTezine = 1871.92 |
| Naziv : More 383 | P = 968 | S = 649 | MSV = 7 | kTezine = 1834.73 |
| Naziv : More 262 | P = 867 | S = 584 | MSV = 5 | kTezine = 1830.71 |
| Naziv : More 449 | P = 560 | S = 223 | MSV = 11 | kTezine = 1822.29 |
| Naziv : More 555 | P = 755 | S = 408 | MSV = 8 | kTezine = 1817.54 |
| Naziv : More 187 | P = 821 | S = 491 | MSV = 7 | kTezine = 1803.63 |
| Naziv : More 1 | P = 819 | S = 510 | MSV = 6 | kTezine = 1795.88 |
| Naziv : More 69 | P = 533 | S = 293 | MSV = 4 | kTezine = 1778.33 |
| Naziv : More 258 | P = 742 | S = 378 | MSV = 11 | kTezine = 1772.89 |
| Naziv : More 689 | P = 931 | S = 596 | MSV = 9 | kTezine = 1759.72 |
| Naziv : More 297 | P = 637 | S = 338 | MSV = 6 | kTezine = 1750.26 |
| Naziv : More 701 | P = 678 | S = 399 | MSV = 5 | kTezine = 1745.19 |
| Naziv : More 76 | P = 544 | S = 231 | MSV = 9 | kTezine = 1735.13 |
| Naziv : More 245 | P = 936 | S = 817 | MSV = 3 | kTezine = 1734.84 |
| Naziv : More 353 | P = 633 | S = 866 | MSV = 1 | kTezine = 1719.7 |
| Naziv : More 559 | P = 796 | S = 502 | MSV = 6 | kTezine = 1715.57 |
| Naziv : More 220 | P = 604 | S = 290 | MSV = 8 | kTezine = 1700.77 |
| Naziv : More 321 | P = 973 | S = 800 | MSV = 4 | kTezine = 1700.46 |
| Naziv : More 296 | P = 615 | S = 285 | MSV = 10 | kTezine = 1692.28 |
| Naziv : More 744 | P = 969 | S = 736 | MSV = 6 | kTezine = 1634.4 |
| Naziv : More 584 | P = 447 | S = 165 | MSV = 11 | kTezine = 1606.65 |
| Naziv : More 310 | P = 871 | S = 582 | MSV = 8 | kTezine = 1603.47 |
| Naziv : More 511 | P = 707 | S = 548 | MSV = 3 | kTezine = 1600.37 |
| Naziv : More 43 | P = 171 | S = 34 | MSV = 11 | kTezine = 1584.49 |
| Naziv : More 77 | P = 768 | S = 638 | MSV = 3 | kTezine = 1544.04 |
| Naziv : More 158 | P = 473 | S = 304 | MSV = 3 | kTezine = 1528.9 |
| Naziv : More 603 | P = 940 | S = 672 | MSV = 10 | kTezine = 1528.72 |
| Naziv : More 589 | P = 916 | S = 654 | MSV = 9 | kTezine = 1519.42 |
| Naziv : More 662 | P = 965 | S = 734 | MSV = 9 | kTezine = 1485.73 |
| Naziv : More 151 | P = 505 | S = 223 | MSV = 10 | kTezine = 1478.41 |
| Naziv : More 242 | P = 472 | S = 230 | MSV = 6 | kTezine = 1472.14 |
| Naziv : More 137 | P = 569 | S = 285 | MSV = 9 | kTezine = 1459.84 |
| Naziv : More 550 | P = 744 | S = 529 | MSV = 5 | kTezine = 1455.91 |
| Naziv : More 377 | P = 729 | S = 472 | MSV = 7 | kTezine = 1444.69 |
| Naziv : More 84 | P = 617 | S = 471 | MSV = 3 | kTezine = 1434.76 |
| Naziv : More 581 | P = 541 | S = 313 | MSV = 5 | kTezine = 1429.11 |
| Naziv : More 248 | P = 858 | S = 695 | MSV = 5 | kTezine = 1406.5 |
| Naziv : More 107 | P = 796 | S = 716 | MSV = 3 | kTezine = 1405.95 |
| Naziv : More 552 | P = 973 | S = 771 | MSV = 10 | kTezine = 1405.27 |
| Naziv : More 73 | P = 844 | S = 596 | MSV = 10 | kTezine = 1392.37 |
| Naziv : More 271 | P = 371 | S = 286 | MSV = 2 | kTezine = 1369.56 |
| Naziv : More 111 | P = 759 | S = 516 | MSV = 8 | kTezine = 1367.96 |
| Naziv : More 768 | P = 922 | S = 808 | MSV = 5 | kTezine = 1363.19 |
| Naziv : More 671 | P = 730 | S = 538 | MSV = 5 | kTezine = 1359.44 |
| Naziv : More 469 | P = 830 | S = 612 | MSV = 8 | kTezine = 1355.44 |
| Naziv : More 247 | P = 750 | S = 665 | MSV = 3 | kTezine = 1355.42 |
| Naziv : More 423 | P = 842 | S = 645 | MSV = 7 | kTezine = 1351.14 |
| Naziv : More 294 | P = 653 | S = 484 | MSV = 4 | kTezine = 1329.41 |
| Naziv : More 277 | P = 501 | S = 262 | MSV = 7 | kTezine = 1318.08 |
| Naziv : More 479 | P = 997 | S = 886 | MSV = 8 | kTezine = 1305.54 |
| Naziv : More 319 | P = 390 | S = 152 | MSV = 11 | kTezine = 1305.07 |
| Naziv : More 348 | P = 964 | S = 853 | MSV = 7 | kTezine = 1299.2 |
| Naziv : More 520 | P = 698 | S = 498 | MSV = 6 | kTezine = 1276.52 |
| Naziv : More 281 | P = 519 | S = 290 | MSV = 7 | kTezine = 1247.87 |
| Naziv : More 60 | P = 994 | S = 902 | MSV = 10 | kTezine = 1231.04 |
| Naziv : More 45 | P = 748 | S = 531 | MSV = 10 | kTezine = 1226.44 |
| Naziv : More 765 | P = 446 | S = 274 | MSV = 4 | kTezine = 1224.1 |
| Naziv : More 478 | P = 506 | S = 339 | MSV = 4 | kTezine = 1204.88 |
| Naziv : More 661 | P = 529 | S = 289 | MSV = 10 | kTezine = 1185.26 |
| Naziv : More 54 | P = 921 | S = 900 | MSV = 5 | kTezine = 1185.03 |
| Naziv : More 378 | P = 645 | S = 482 | MSV = 5 | kTezine = 1178.54 |
| Naziv : More 2 | P = 904 | S = 778 | MSV = 11 | kTezine = 1174.47 |
| Naziv : More 224 | P = 930 | S = 971 | MSV = 4 | kTezine = 1171.16 |
| Naziv : More 109 | P = 896 | S = 815 | MSV = 7 | kTezine = 1168.58 |
| Naziv : More 355 | P = 841 | S = 775 | MSV = 5 | kTezine = 1165.59 |
| Naziv : More 252 | P = 954 | S = 891 | MSV = 9 | kTezine = 1159.38 |
| Naziv : More 641 | P = 951 | S = 883 | MSV = 10 | kTezine = 1147.86 |
| Naziv : More 197 | P = 521 | S = 758 | MSV = 1 | kTezine = 1145.32 |
| Naziv : More 181 | P = 330 | S = 144 | MSV = 7 | kTezine = 1124.34 |
| Naziv : More 452 | P = 867 | S = 769 | MSV = 9 | kTezine = 1117.48 |
| Naziv : More 361 | P = 712 | S = 695 | MSV = 3 | kTezine = 1107.67 |
| Naziv : More 444 | P = 948 | S = 924 | MSV = 9 | kTezine = 1097.77 |
| Naziv : More 178 | P = 331 | S = 155 | MSV = 6 | kTezine = 1097.44 |
| Naziv : More 407 | P = 624 | S = 563 | MSV = 3 | kTezine = 1096.83 |
| Naziv : More 645 | P = 794 | S = 694 | MSV = 7 | kTezine = 1085.89 |
| Naziv : More 16 | P = 420 | S = 210 | MSV = 9 | kTezine = 1080 |
| Naziv : More 15 | P = 713 | S = 543 | MSV = 11 | kTezine = 1063.13 |
| Naziv : More 746 | P = 210 | S = 94 | MSV = 4 | kTezine = 1062.65 |
| Naziv : More 715 | P = 571 | S = 367 | MSV = 10 | kTezine = 1052.08 |
| Naziv : More 737 | P = 492 | S = 315 | MSV = 6 | kTezine = 1038.9 |
| Naziv : More 344 | P = 447 | S = 233 | MSV = 11 | kTezine = 1038.7 |
| Naziv : More 41 | P = 368 | S = 177 | MSV = 8 | kTezine = 1033.77 |
| Naziv : More 622 | P = 892 | S = 899 | MSV = 7 | kTezine = 1031.23 |
| Naziv : More 625 | P = 965 | S = 992 | MSV = 11 | kTezine = 1029.81 |
| Naziv : More 596 | P = 468 | S = 261 | MSV = 10 | kTezine = 1022.52 |
| Naziv : More 174 | P = 837 | S = 790 | MSV = 8 | kTezine = 1022.17 |
| Naziv : More 364 | P = 503 | S = 349 | MSV = 5 | kTezine = 1018.55 |
| Naziv : More 279 | P = 887 | S = 874 | MSV = 9 | kTezine = 1014.6 |
| Naziv : More 719 | P = 889 | S = 894 | MSV = 8 | kTezine = 1009.51 |
| Naziv : More 8 | P = 799 | S = 716 | MSV = 10 | kTezine = 1003.62 |
| Naziv : More 769 | P = 721 | S = 663 | MSV = 5 | kTezine = 1002.01 |
| Naziv : More 565 | P = 837 | S = 979 | MSV = 3 | kTezine = 1000.81 |
| Naziv : More 52 | P = 877 | S = 868 | MSV = 10 | kTezine = 985.684 |
| Naziv : More 435 | P = 875 | S = 914 | MSV = 7 | kTezine = 970.374 |
| Naziv : More 667 | P = 636 | S = 524 | MSV = 6 | kTezine = 967.694 |
| Naziv : More 691 | P = 548 | S = 862 | MSV = 1 | kTezine = 956.382 |
| Naziv : More 166 | P = 621 | S = 714 | MSV = 2 | kTezine = 955.74 |
| Naziv : More 760 | P = 724 | S = 621 | MSV = 10 | kTezine = 955.479 |
| Naziv : More 236 | P = 687 | S = 581 | MSV = 8 | kTezine = 953.232 |
| Naziv : More 524 | P = 606 | S = 463 | MSV = 8 | kTezine = 948.318 |
| Naziv : More 167 | P = 575 | S = 402 | MSV = 11 | kTezine = 945.38 |
| Naziv : More 485 | P = 836 | S = 835 | MSV = 9 | kTezine = 941.767 |
| Naziv : More 215 | P = 876 | S = 928 | MSV = 8 | kTezine = 937.539 |
| Naziv : More 127 | P = 640 | S = 529 | MSV = 7 | kTezine = 936.076 |
| Naziv : More 669 | P = 840 | S = 870 | MSV = 8 | kTezine = 922.353 |
| Naziv : More 773 | P = 795 | S = 800 | MSV = 7 | kTezine = 920.744 |
| Naziv : More 386 | P = 915 | S = 994 | MSV = 11 | kTezine = 919.201 |
| Naziv : More 365 | P = 737 | S = 676 | MSV = 9 | kTezine = 914.255 |
| Naziv : More 504 | P = 849 | S = 882 | MSV = 10 | kTezine = 904.279 |
| Naziv : More 432 | P = 871 | S = 988 | MSV = 6 | kTezine = 900.108 |
| Naziv : More 763 | P = 120 | S = 31 | MSV = 8 | kTezine = 900 |
| Naziv : More 533 | P = 791 | S = 895 | MSV = 4 | kTezine = 897.355 |
| Naziv : More 680 | P = 510 | S = 393 | MSV = 5 | kTezine = 893.814 |
| Naziv : More 212 | P = 792 | S = 792 | MSV = 9 | kTezine = 891 |
| Naziv : More 554 | P = 780 | S = 841 | MSV = 5 | kTezine = 888.175 |
| Naziv : More 260 | P = 832 | S = 947 | MSV = 5 | kTezine = 886.784 |
| Naziv : More 278 | P = 524 | S = 573 | MSV = 2 | kTezine = 882.881 |
| Naziv : More 723 | P = 424 | S = 628 | MSV = 1 | kTezine = 881.255 |
| Naziv : More 420 | P = 729 | S = 787 | MSV = 4 | kTezine = 878.778 |
| Naziv : More 108 | P = 425 | S = 277 | MSV = 6 | kTezine = 876.112 |
| Naziv : More 590 | P = 843 | S = 890 | MSV = 11 | kTezine = 873.716 |
| Naziv : More 544 | P = 823 | S = 864 | MSV = 10 | kTezine = 866.482 |
| Naziv : More 743 | P = 732 | S = 802 | MSV = 4 | kTezine = 865.628 |
| Naziv : More 159 | P = 759 | S = 797 | MSV = 6 | kTezine = 859.181 |
| Naziv : More 285 | P = 722 | S = 731 | MSV = 6 | kTezine = 853.631 |
| Naziv : More 711 | P = 747 | S = 771 | MSV = 7 | kTezine = 840.014 |
| Naziv : More 38 | P = 764 | S = 766 | MSV = 11 | kTezine = 837.987 |
| Naziv : More 343 | P = 574 | S = 511 | MSV = 5 | kTezine = 831.59 |
| Naziv : More 251 | P = 685 | S = 795 | MSV = 3 | kTezine = 828.044 |
| Naziv : More 363 | P = 786 | S = 907 | MSV = 5 | kTezine = 823.948 |
| Naziv : More 214 | P = 433 | S = 446 | MSV = 2 | kTezine = 816.946 |
| Naziv : More 238 | P = 574 | S = 461 | MSV = 10 | kTezine = 816.343 |
| Naziv : More 685 | P = 828 | S = 923 | MSV = 10 | kTezine = 815.977 |
| Naziv : More 756 | P = 339 | S = 480 | MSV = 1 | kTezine = 815.043 |
| Naziv : More 652 | P = 856 | S = 998 | MSV = 9 | kTezine = 811.546 |
| Naziv : More 129 | P = 728 | S = 759 | MSV = 7 | kTezine = 809.136 |
| Naziv : More 339 | P = 754 | S = 854 | MSV = 5 | kTezine = 808.47 |
| Naziv : More 447 | P = 512 | S = 454 | MSV = 4 | kTezine = 804.123 |
| Naziv : More 49 | P = 446 | S = 289 | MSV = 11 | kTezine = 800.613 |
| Naziv : More 415 | P = 517 | S = 856 | MSV = 1 | kTezine = 788.463 |
| Naziv : More 312 | P = 717 | S = 840 | MSV = 4 | kTezine = 778.039 |
| Naziv : More 690 | P = 341 | S = 200 | MSV = 7 | kTezine = 768.619 |
| Naziv : More 474 | P = 255 | S = 113 | MSV = 9 | kTezine = 768.012 |
| Naziv : More 163 | P = 576 | S = 490 | MSV = 10 | kTezine = 767.29 |
| Naziv : More 696 | P = 773 | S = 887 | MSV = 8 | kTezine = 756.007 |
| Naziv : More 733 | P = 724 | S = 843 | MSV = 5 | kTezine = 750.753 |
| Naziv : More 34 | P = 607 | S = 569 | MSV = 8 | kTezine = 747.172 |
| Naziv : More 256 | P = 414 | S = 333 | MSV = 4 | kTezine = 746.824 |
| Naziv : More 27 | P = 651 | S = 643 | MSV = 9 | kTezine = 742.642 |
| Naziv : More 753 | P = 767 | S = 928 | MSV = 6 | kTezine = 735.208 |
| Naziv : More 650 | P = 616 | S = 597 | MSV = 8 | kTezine = 729.723 |
| Naziv : More 536 | P = 439 | S = 411 | MSV = 3 | kTezine = 728.165 |
| Naziv : More 124 | P = 663 | S = 725 | MSV = 6 | kTezine = 715.328 |
| Naziv : More 231 | P = 574 | S = 532 | MSV = 9 | kTezine = 703.674 |
| Naziv : More 395 | P = 746 | S = 941 | MSV = 5 | kTezine = 702.849 |
| Naziv : More 47 | P = 764 | S = 911 | MSV = 11 | kTezine = 693.6 |
| Naziv : More 506 | P = 759 | S = 905 | MSV = 11 | kTezine = 689.092 |
| Naziv : More 5 | P = 721 | S = 860 | MSV = 7 | kTezine = 686.712 |
| Naziv : More 770 | P = 311 | S = 219 | MSV = 4 | kTezine = 684.75 |
| Naziv : More 26 | P = 622 | S = 639 | MSV = 9 | kTezine = 678.876 |
| Naziv : More 429 | P = 620 | S = 656 | MSV = 7 | kTezine = 677.442 |
| Naziv : More 394 | P = 694 | S = 895 | MSV = 4 | kTezine = 667.548 |
| Naziv : More 642 | P = 734 | S = 884 | MSV = 10 | kTezine = 664.639 |
| Naziv : More 338 | P = 127 | S = 67 | MSV = 3 | kTezine = 653.878 |
| Naziv : More 384 | P = 720 | S = 887 | MSV = 8 | kTezine = 650.439 |
| Naziv : More 549 | P = 571 | S = 577 | MSV = 8 | kTezine = 644.828 |
| Naziv : More 526 | P = 506 | S = 448 | MSV = 10 | kTezine = 644.278 |
| Naziv : More 362 | P = 597 | S = 703 | MSV = 4 | kTezine = 643.628 |
| Naziv : More 230 | P = 676 | S = 889 | MSV = 4 | kTezine = 634.689 |
| Naziv : More 408 | P = 692 | S = 826 | MSV = 10 | kTezine = 632.748 |
| Naziv : More 376 | P = 714 | S = 985 | MSV = 4 | kTezine = 632.109 |
| Naziv : More 210 | P = 693 | S = 859 | MSV = 7 | kTezine = 631.907 |
| Naziv : More 307 | P = 709 | S = 903 | MSV = 7 | kTezine = 627.008 |
| Naziv : More 335 | P = 614 | S = 686 | MSV = 8 | kTezine = 618.787 |
| Naziv : More 326 | P = 572 | S = 581 | MSV = 11 | kTezine = 618.495 |
| Naziv : More 283 | P = 658 | S = 772 | MSV = 10 | kTezine = 613.09 |
| Naziv : More 168 | P = 477 | S = 420 | MSV = 10 | kTezine = 611.144 |
| Naziv : More 695 | P = 503 | S = 516 | MSV = 5 | kTezine = 609.073 |
| Naziv : More 521 | P = 620 | S = 735 | MSV = 6 | kTezine = 608.549 |
| Naziv : More 202 | P = 552 | S = 779 | MSV = 2 | kTezine = 605.773 |
| Naziv : More 714 | P = 384 | S = 308 | MSV = 6 | kTezine = 604.328 |
| Naziv : More 591 | P = 557 | S = 578 | MSV = 9 | kTezine = 601.128 |
| Naziv : More 37 | P = 641 | S = 744 | MSV = 11 | kTezine = 599.19 |
| Naziv : More 660 | P = 428 | S = 522 | MSV = 2 | kTezine = 594.753 |
| Naziv : More 501 | P = 638 | S = 771 | MSV = 8 | kTezine = 588.852 |
| Naziv : More 89 | P = 411 | S = 425 | MSV = 3 | kTezine = 586.531 |
| Naziv : More 315 | P = 528 | S = 531 | MSV = 10 | kTezine = 582.986 |
| Naziv : More 766 | P = 665 | S = 869 | MSV = 7 | kTezine = 571.35 |
| Naziv : More 20 | P = 582 | S = 719 | MSV = 5 | kTezine = 562.104 |
| Naziv : More 228 | P = 582 | S = 797 | MSV = 3 | kTezine = 561.731 |
| Naziv : More 570 | P = 648 | S = 882 | MSV = 5 | kTezine = 558.086 |
| Naziv : More 284 | P = 717 | S = 991 | MSV = 11 | kTezine = 555.281 |
| Naziv : More 400 | P = 507 | S = 520 | MSV = 9 | kTezine = 554.383 |
| Naziv : More 115 | P = 408 | S = 438 | MSV = 3 | kTezine = 551.205 |
| Naziv : More 461 | P = 529 | S = 685 | MSV = 3 | kTezine = 550.146 |
| Naziv : More 302 | P = 642 | S = 810 | MSV = 11 | kTezine = 548.356 |
| Naziv : More 633 | P = 161 | S = 209 | MSV = 1 | kTezine = 540.021 |
| Naziv : More 540 | P = 541 | S = 680 | MSV = 4 | kTezine = 537.276 |
| Naziv : More 580 | P = 674 | S = 919 | MSV = 10 | kTezine = 533.438 |
| Naziv : More 498 | P = 324 | S = 278 | MSV = 4 | kTezine = 532.873 |
| Naziv : More 542 | P = 638 | S = 837 | MSV = 9 | kTezine = 531.312 |
| Naziv : More 198 | P = 502 | S = 525 | MSV = 11 | kTezine = 525.705 |
| Naziv : More 494 | P = 411 | S = 368 | MSV = 9 | kTezine = 524.057 |
| Naziv : More 424 | P = 667 | S = 926 | MSV = 9 | kTezine = 522.238 |
